Protein Name,Tiny,Small,Aliphatic,Aromatic,Non-Polar,Polar,Charged,Basic,Acidic,Molecular Weight,Charge,A280 Molar Extinction Coefficients,Improbability of expression in inclusion bodies,Isoelectric Point,CAI,Instability Index,Aliphatic Index,GRAVY,N-30 Disorder,GPC Content,Effector
PSLT037,30,63.333,23.333,0,30,70,23.333,13.333,10,24844.9,1,0,0.842,6.44,0.559,52.94,74.67,-0.923,0.6865,32.87250384,TRUE
PSLT038,20,63.333,36.667,3.333,63.333,36.667,10,3.333,6.667,27646.1,-1,1490,0.972,6.71,0.578,74.59,110.67,-0.093,0.470466667,45.45454545,TRUE
STM0004,23.333,40,26.667,13.333,50,50,20,13.333,6.667,46987.7,1.5,1490,0.782,5.64,0.752,21.95,78,-0.523,0.464833333,56.7987568,FALSE
STM0008,33.333,53.333,33.333,3.333,53.333,46.667,26.667,10,16.667,21363.5,-2,1490,0.61,4.84,0.71,26.73,104,-0.103,0.444766667,56.17597293,FALSE
STM0029,10,30,30,13.333,43.333,56.667,33.333,20,13.333,17606.7,1.5,2980,0.681,9.2,0.53,16.17,110.33,-0.477,0.304303333,37.11111111,FALSE
STM0046,30,50,20,6.667,56.667,43.333,26.667,13.333,13.333,105672.2,0,1490,0.892,5.65,0.762,49.55,58.67,-0.577,0.374066667,54.77954145,FALSE
STM0055,23.333,46.667,43.333,6.667,56.667,43.333,26.667,13.333,13.333,63206.5,-0.5,0,0.943,5.33,0.771,39.78,133.33,0.473,0.3258,63.68243243,FALSE
STM0063,40,63.333,43.333,3.333,60,40,16.667,10,6.667,32850.5,1,1490,0.921,6.08,0.645,37.67,107.33,0.263,0.556926667,54.78547855,FALSE
STM0077,43.333,60,53.333,3.333,73.333,26.667,16.667,3.333,13.333,45769.9,-3,0,0.936,5.4,0.73,29.95,130.33,0.987,0.312566667,55.47785548,FALSE
STM0097,36.667,53.333,23.333,16.667,53.333,46.667,20,10,10,89992.3,-0.5,11000,0.621,6.49,0.734,29.76,58.67,-0.407,0.3928,56.50510204,FALSE
STM0110,26.667,56.667,36.667,10,56.667,43.333,23.333,10,13.333,22506.4,-1.5,0,0.939,5.06,0.768,6.74,94.33,0.09,0.33698,52.97029703,FALSE
STM0113,30,40,33.333,3.333,43.333,56.667,23.333,10,13.333,57431,-1,0,0.823,5.62,0.759,62.97,97.67,-0.317,0.30552,54.8346056,FALSE
STM0166,20,40,20,26.667,46.667,53.333,30,13.333,16.667,32095,-2.5,8480,0.894,5.28,0.769,12.92,52,-0.733,0.316056667,53.42624855,FALSE
STM0171,20,43.333,30,10,53.333,46.667,30,10,20,24821.4,-3,5500,0.936,5.65,0.694,37.87,94.33,-0.117,0.426166667,50.07541478,FALSE
STM0181,13.333,26.667,40,3.333,56.667,43.333,30,23.333,6.667,31857.8,4.5,0,0.976,5.83,0.767,111.03,139.67,0.057,0.314723333,54.50292398,FALSE
STM0188,26.667,43.333,40,16.667,63.333,36.667,30,16.667,13.333,19634.4,0.5,5500,0.741,10,0.722,45.64,88.33,0.033,0.4345,62.90018832,FALSE
STM0216,23.333,43.333,16.667,20,56.667,43.333,26.667,23.333,3.333,26758.6,5,6990,0.846,6.61,0.706,16.94,39,-0.567,0.235393333,50.96418733,FALSE
STM0217,40,46.667,33.333,0,53.333,46.667,33.333,16.667,16.667,30357.8,0,0,0.741,5.13,0.72,25.46,78.33,-0.153,0.386733333,52.58215962,FALSE
STM0231,23.333,46.667,26.667,13.333,53.333,46.667,33.333,23.333,10,130217.8,3,1490,0.69,5.19,0.728,37.27,84.33,-0.303,0.3138,55.90008613,FALSE
