Protein Name,Tiny,Small,Aliphatic,Aromatic,Non-Polar,Polar,Charged,Basic,Acidic,Molecular Weight,Charge,A280 Molar Extinction Coefficients,Improbability of expression in inclusion bodies,Isoelectric Point,CAI,Instability Index,Aliphatic Index,GRAVY,N-30 Disorder,GPC Content,Effector
CT_002,23.333,40,36.667,10,46.667,53.333,36.667,10,26.667,11073.6,-5.5,1490,0.642,4.14,0.812,61.18,97.67,-0.297,0.36027,39.27392739,FALSE
CT_003,23.333,40,33.333,16.667,50,50,33.333,20,13.333,53588.24,1.5,4470,0.564,5.86,0.689,36.91,91,-0.363,0.306387,43.22493225,FALSE
CT_004,30,46.667,33.333,13.333,53.333,46.667,26.667,10,16.667,55018.08,-3,5500,0.966,5.87,0.728,37.57,100.67,0.097,0.26355,43.14928425,FALSE
CT_005,23.333,60,23.333,6.667,56.667,43.333,16.667,13.333,3.333,39549.75,2.5,0,0.925,9.23,0.695,87.08,71.33,-0.497,0.39055,46.42857143,TRUE
CT_006,26.667,56.667,33.333,13.333,66.667,33.333,16.667,10,6.667,20245.98,0.5,1490,0.822,9.22,0.727,90.61,81.33,0.177,0.255603,45.0877193,TRUE
CT_009,16.667,30,30,13.333,40,60,46.667,26.667,20,16225.76,0.5,0,0.823,5.71,0.773,62.7,97.33,-0.67,0.290737,40.27777778,FALSE
CT_010,23.333,36.667,43.333,10,70,30,23.333,20,3.333,52058.66,4.5,1490,0.91,10.07,0.748,26.47,159,0.8,0.214237,41.30116959,FALSE
CT_013,26.667,36.667,43.333,20,76.667,23.333,10,6.667,3.333,50186.85,0.5,1490,0.619,9.32,0.708,55.71,133.33,1.35,0.172572,40.64131245,FALSE
CT_014,30,50,46.667,20,83.333,16.667,6.667,0,6.667,39534.02,-2,8480,0.888,8.8,0.686,35.35,139.67,1.617,0.202713,40.30131827,FALSE
CT_015,30,53.333,33.333,6.667,50,50,20,13.333,6.667,48746.49,2,1490,0.79,8.85,0.783,15.18,113.67,0.257,0.22903,40.30651341,FALSE
CT_019,16.667,30,23.333,10,36.667,63.333,40,16.667,23.333,118985.45,-2,5500,0.939,5.36,0.729,37.72,81.33,-0.787,0.313357,41.94792671,FALSE
