Protein Name,Tiny,Small,Aliphatic,Aromatic,Non-Polar,Polar,Charged,Basic,Acidic,Molecular Weight,Charge,A280 Molar Extinction Coefficients,Improbability of expression in inclusion bodies,Isoelectric Point,CAI,Instability Index,Aliphatic Index,GRAVY,N-30 Disorder,GPC Content,Effector
E2348C_0039,33.333,53.333,33.333,13.333,76.667,23.333,16.667,10,6.667,45056.7,0.5,0,0.892,5.17,0.788,55.39,94.33,0.65,0.334623333,52.70935961,FALSE
E2348C_0057,40,46.667,43.333,3.333,60,40,13.333,10,3.333,89667.3,2,1490,0.675,5.13,0.751,36,111,0.31,0.591433333,51.76220807,FALSE
E2348C_0090,23.333,53.333,33.333,3.333,53.333,46.667,33.333,16.667,16.667,53313.5,0,5500,0.619,5.37,0.765,63.07,88,-0.577,0.403966667,56.3172043,FALSE
E2348C_0190,23.333,43.333,33.333,6.667,46.667,53.333,30,6.667,23.333,35287.5,-5,0,0.899,5.76,0.824,52.48,97.67,-0.227,0.435966667,52.39583333,FALSE
E2348C_0206,20,53.333,30,16.667,53.333,46.667,33.333,13.333,20,21145,-3,1490,0.979,4.97,0.768,11.39,87.67,-0.233,0.26949,50.08726003,FALSE
E2348C_0222,33.333,46.667,36.667,20,73.333,26.667,10,10,0,29364.5,2,0,0.96,9.72,0.646,44.87,117,1.24,0.352366667,51.77865613,FALSE
E2348C_0298,13.333,23.333,13.333,53.333,86.667,13.333,3.333,3.333,0,46503.2,1,11460,0.681,8.96,0.748,34.76,42.33,1.01,0.204676667,46.01275917,FALSE
E2348C_0337,36.667,40,26.667,10,53.333,46.667,26.667,23.333,3.333,50215.7,5.5,0,0.84,9.63,0.782,45.88,84.67,-0.12,0.23589,52.32896652,FALSE
E2348C_0338,16.667,40,33.333,13.333,63.333,36.667,16.667,10,6.667,69057,0.5,11000,0.619,6.06,0.737,76.94,113.67,0.213,0.42,54.62046205,FALSE
E2348C_0381,33.333,46.667,33.333,10,56.667,43.333,30,16.667,13.333,30328.8,0,0,0.823,5.6,0.685,24.68,91.33,-0.003,0.167473333,50.79365079,FALSE
E2348C_0384,26.667,40,33.333,13.333,66.667,33.333,16.667,16.667,0,65252.5,5,12490,0.84,5.69,0.727,49.66,107.33,0.107,0.196426333,55.94837262,FALSE
E2348C_0399,26.667,36.667,30,6.667,40,60,30,20,10,24794.6,2.5,0,0.777,5.64,0.641,81.26,81.33,-0.717,0.32806,45.83333333,FALSE
E2348C_0441,40,56.667,43.333,6.667,73.333,26.667,20,10,10,64773.8,0,1490,0.631,5.71,0.794,25.78,91.33,0.607,0.2431,53.47923681,FALSE
E2348C_0443,36.667,46.667,36.667,10,70,30,13.333,13.333,0,30786.5,3,0,0.69,5.72,0.785,-0.05,110.67,0.643,0.15793,50.51194539,FALSE
E2348C_0474,40,43.333,40,10,73.333,26.667,16.667,10,6.667,44409.9,1,5500,0.862,5.7,0.75,20.4,107.67,0.803,0.562066667,55.80065359,FALSE
E2348C_0481,13.333,50,26.667,13.333,66.667,33.333,20,3.333,16.667,41607.2,-4.5,1490,0.964,5.88,0.745,62.28,94,0.08,0.369633333,51.20643432,FALSE
E2348C_0488,33.333,53.333,40,10,66.667,33.333,13.333,6.667,6.667,141946.9,-0.5,11000,0.629,5.08,0.736,62.76,101,0.32,0.268806667,56.36269964,FALSE
E2348C_0506,16.667,33.333,40,16.667,60,40,23.333,13.333,10,34271.7,0.5,2980,0.631,7.08,0.62,37.6,133.33,0.467,0.169666667,37.20930233,FALSE
E2348C_0570,16.667,46.667,33.333,10,50,50,26.667,13.333,13.333,27919.9,-0.5,2980,0.732,6.5,0.687,-0.19,107,-0.22,0.251373333,50.39370079,FALSE
E2348C_0578,23.333,50,33.333,10,50,50,16.667,13.333,3.333,28413.2,2,0,0.96,5.81,0.734,35.22,104,-0.22,0.289306667,50.98039216,FALSE
E2348C_0600,33.333,60,40,0,53.333,46.667,26.667,10,16.667,48014.9,-2,0,0.939,6.21,0.813,-8.98,117,0.107,0.442866667,50.3894081,FALSE
E2348C_0601,16.667,43.333,40,6.667,53.333,46.667,23.333,20,3.333,14319.1,4.5,0,0.91,9.86,0.673,60.85,126.67,0.097,0.311933333,48.97435897,FALSE
E2348C_0650,13.333,40,10,16.667,46.667,53.333,40,30,10,40233.9,5.5,5960,0.754,9.41,0.529,86.67,39,-1.843,0.456433333,45.28478058,FALSE
E2348C_0664,16.667,43.333,13.333,10,40,60,40,16.667,23.333,26698,-2,5500,0.724,6.02,0.647,83.59,48.67,-1.28,0.426656667,47.74011299,FALSE
E2348C_0704,33.333,53.333,46.667,0,60,40,20,13.333,6.667,20211.8,2,0,0.69,11.85,0.67,38.76,111,0.16,0.4698,53.1835206,FALSE
E2348C_0723,30,43.333,26.667,3.333,40,60,20,13.333,6.667,24583.4,2,1490,0.868,9.67,0.556,74.97,104,-0.263,0.453366667,34.25076453,TRUE
E2348C_0751,30,43.333,46.667,10,70,30,16.667,10,6.667,81441.2,1,6990,0.564,7.04,0.715,31.62,104.67,0.217,0.482,54.30032543,FALSE
E2348C_0779,36.667,40,40,6.667,63.333,36.667,20,13.333,6.667,33373.9,1.5,1490,0.782,4.77,0.732,69.27,104.33,0.15,0.558166667,56.31469979,FALSE
E2348C_0848,30,40,26.667,10,46.667,53.333,33.333,16.667,16.667,26846.6,-1,0,0.888,6.06,0.766,53.8,84.67,-0.37,0.446066667,52.55878285,FALSE
E2348C_0861,33.333,50,26.667,13.333,60,40,13.333,3.333,10,27022,-2.5,1490,0.883,6.17,0.789,32.33,84.67,0.117,0.094786667,52.94924554,FALSE
