Protein Name,Tiny,Small,Aliphatic,Aromatic,Non-Polar,Polar,Charged,Basic,Acidic,Molecular Weight,Charge,A280 Molar Extinction Coefficients,Improbability of expression in inclusion bodies,Isoelectric Point,CAI,Instability Index,Aliphatic Index,GRAVY,N-30 Disorder,GPC Content,Effector
XCV0002,13.333,40,40,6.667,56.667,43.333,23.333,16.667,6.667,40752.5,3,0,0.915,5.35,0.699,48.52,120,0.12,0.277656667,63.21525886,FALSE
XCV0013,33.333,70,40,0,53.333,46.667,16.667,10,6.667,26526.7,1,0,0.921,5.49,0.703,21.32,100.67,-0.02,0.3619,67.70833333,FALSE
XCV0015,30,36.667,60,16.667,83.333,16.667,10,3.333,6.667,54418.8,-1.5,13980,0.979,9.07,0.742,4.98,163,1.22,0.355777667,66.66666667,FALSE
XCV0031,33.333,40,40,0,56.667,43.333,20,20,0,38520.9,6,0,0.927,9.62,0.613,47.31,117.33,0.12,0.555066667,60.87369421,FALSE
XCV0052,43.333,63.333,36.667,6.667,60,40,10,10,0,78487.7,2,0,0.96,7.88,0.683,51.88,91.33,0.157,0.704166667,63.58974359,TRUE
XCV0055,43.333,63.333,30,3.333,56.667,43.333,26.667,13.333,13.333,90752.8,0,0,0.731,5.87,0.772,63.91,59,-0.53,0.664866667,66.10576923,FALSE
XCV0077,30,46.667,33.333,3.333,66.667,33.333,23.333,16.667,6.667,16601.2,3,0,0.582,6.07,0.766,54.71,104,0.173,0.252116667,69.75717439,FALSE
XCV0101,26.667,60,26.667,10,56.667,43.333,20,6.667,13.333,43140,-2,1490,0.639,5.72,0.811,71.8,68.33,-0.407,0.261933333,66.41729011,FALSE
XCV0110,36.667,50,40,20,73.333,26.667,16.667,10,6.667,41915.2,0.5,4470,0.619,7.9,0.743,39.22,88.33,0.3,0.4386,67.6949443,FALSE
XCV0145,36.667,46.667,46.667,3.333,56.667,43.333,20,16.667,3.333,37902.1,3.5,0,0.915,9.55,0.685,31.89,133.33,0.407,0.515266667,69.35933148,FALSE
XCV0179,30,50,40,10,56.667,43.333,26.667,10,16.667,15016.1,-2.5,0,0.979,6.5,0.697,34.95,110.67,0.307,0.3698,65.5011655,FALSE
XCV0194,36.667,53.333,43.333,3.333,63.333,36.667,23.333,13.333,10,21772.9,1,0,0.564,5.57,0.771,72.8,104.33,0.353,0.672833333,68.36419753,FALSE
XCV0207,46.667,56.667,40,16.667,66.667,33.333,20,16.667,3.333,35858.1,2.5,11000,0.862,5.76,0.686,17.25,94.67,0.237,0.416486667,67.73879142,FALSE
XCV0230,40,50,33.333,6.667,53.333,46.667,26.667,16.667,10,61971.3,2,5500,0.553,6.07,0.675,36.6,84.67,-0.143,0.280503333,63.65740741,FALSE
XCV0250,16.667,50,40,10,60,40,26.667,13.333,13.333,26600.6,-1,1490,0.888,9.13,0.707,58.73,123.33,0.223,0.106806667,65.55090656,FALSE
XCV0273,26.667,43.333,40,16.667,56.667,43.333,30,13.333,16.667,41503.5,-2.5,0,0.979,5.89,0.772,78.85,110.67,0.26,0.191393333,65.54982818,FALSE
XCV0294,46.667,66.667,26.667,3.333,56.667,43.333,16.667,6.667,10,43693.2,-1.5,0,0.902,9.89,0.476,95.21,58.67,-0.123,0.793833333,63.34164589,TRUE
XCV0297,40,70,50,0,83.333,16.667,10,6.667,3.333,30673.9,1,0,0.782,9.01,0.765,63.98,110.67,1.29,0.6431,64.56140351,FALSE
